threshold,precision,recall,f1,auc,accuracy
0.0,0.47,1.0,0.64,0.9,0.47
0.06,0.52,1.0,0.68,0.9,0.56
0.11,0.58,0.99,0.73,0.9,0.66
0.17,0.63,0.98,0.77,0.9,0.72
0.22,0.67,0.96,0.79,0.9,0.76
0.28,0.71,0.94,0.81,0.9,0.79
0.33,0.75,0.91,0.82,0.9,0.82
0.39,0.78,0.87,0.82,0.9,0.82
0.44,0.81,0.84,0.82,0.9,0.83
0.5,0.83,0.8,0.81,0.9,0.82
0.56,0.83,0.73,0.78,0.9,0.8
0.61,0.84,0.69,0.76,0.9,0.79
0.67,0.87,0.64,0.73,0.9,0.78
0.72,0.89,0.58,0.7,0.9,0.77
0.78,0.9,0.52,0.66,0.9,0.75
0.83,0.92,0.46,0.62,0.9,0.73
0.89,0.92,0.36,0.52,0.9,0.68
0.94,0.93,0.25,0.39,0.9,0.63
1.0,0.0,0.0,0.0,0.9,0.53
